ボス戦名,個体名,体数,HP,経験値,ゴールド,出現場所,特徴メモ,行動パターン
カンダタ,カンダタ,,176,550,410,岩山の洞窟,攻撃、痛恨あり、防御、様子を見る,ランダム
カンダタ,カンダタこぶん,2,85,,,岩山の洞窟,攻撃、メラ、ホイミ,ランダム
ようじゅつし,ようじゅつし,,363,700,540,岩山の洞窟,攻撃、ベギラマ、マホトーン、スクルト,ランダム
よろいのきし,よろいのきし,1,105,478,204,妖精の隠れ里,攻撃、マホトーン,ランダム
よろいのきし,かげのきし,4,92,,,妖精の隠れ里,攻撃、ルカナン、バギ,ランダム
ドラゴン,ドラゴン,,2240,2540,2200,沼地の洞窟,攻撃、痛恨あり、はげしいほのお、ひのいき、おたけび、ビーストモード（※ビーストモードはＨＰ50％後1度のみ）,
ダークドリーマー,ダークドリーマー,3,226,1470,270,迷いの森,攻撃、バギマ、マホトーン、マヌーサ、もうどくの霧、マホトラ、なかまをよぶ（※なかまをよぶは上限3体まで限定）,ランダム
ゴーレム,ゴーレム,,2070,5110,506,メルキドの町,攻撃、痛恨、すてみ、ちからため、だいぼうぎょ,
ドラゴンフライ,ドラゴンフライ,6,132,1170,330,岩泣き島,攻撃、もえさかるかえん、メラミ,ランダム
ドラゴンゾンビ,ドラゴンゾンビ,2,560,1760,42,妖精の隠れ里,攻撃、こごえるふぶき、こおりのいき、あまいいき（※１～２回行動）,ランダム（※1から2回行動）
エイリアンフライ,エイリアンフライ,,1988,10230,3450,マイラの村,攻撃、ピオリム、スクルト、ベホマラー、おたけび、なかまよび、こごえるふぶき、はげしいほのお,"①なかまよび＋ブレス除くランダム
②なかまよび＋ブレス除くランダム
③なかまよび＋ブレス除くランダム
④なかまよび
⑤ランダム
⑥こごえるふぶき×２
⑦こごえるふぶき×２
⑧①に戻る"
エイリアンフライ,ドラゴンゾンビ,2,160,,,マイラの村,攻撃、もえさかるかえん、メラミ,ランダム
マーダーゴイル,マーダーゴイル,,2408,17370,5630,雨のほこら,まじんぎり、もろばぎり、バギクロス、マホトーン,"①まじんぎり
②まじんぎり以外ランダム2回（マホトーンは2回目のみ）
※①は1回行動②は2回行動"
エクソダス,エクソダス,,2556,22060,6680,精霊のほこら,マヒ攻撃、くろいきり、はやぶさぎり、うけながし、かぶとわり、つるぎのまい（HP自動回復あり）,"①くろいきり
②はやぶさぎりorマヒ攻撃
③はやぶさぎりorマヒ攻撃
④うけながし
⑤マヒ攻撃
⑥うけながし
⑦かぶとわり
⑧マヒ攻撃
⑨①に戻る"
りゅうおう,りゅうおう,,3140,19860,0,竜王の城・地下6階,攻撃、ラリホー、マホトーン、マホカンタ、ぶきみなひかり、ベギラゴン、ベホイム、魔力集中、いてつくはどう,ランダム2回行動
竜王,竜王,,4800,,,竜王の城・地下6階,攻撃、するどいきば、おたけび、はげしいほのお、ベギラゴン、ベホイミ、ピオリム、スクルト、バイキルト、しゃくねつのほのお★HP50%以下、メラゾーマ★HP50%以下,"①通常攻撃
②バフ呪文を2つ(バイキルト/スクルト/ピオリム/べホイム)
③かみくだく×2
④通常攻撃+はげしいほのお
⑤通常攻撃+ベギラゴン
⑥様子を見ている(何もしてこない)
⑦ベギラゴン+はげしいほのお
⑧様子を見ている(何もしてこない)
⑨おたけび×2
⑩①に戻る"
